COUNTY_NAME,Make,Model,FuelTypeDescription,NbrOfVehicles
ADAMS,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,1
ALLEN,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,2
ALLEN,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
ALLEN,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,3
ALLEN,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,6
BARTHOLOMEW,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
BLACKFORD,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
BOONE,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
BOONE,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
CLARK,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,2
CLARK,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
CLARK,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
CLAY,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,1
DEARBORN,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,1
DEARBORN,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,1
DEKALB,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
DELAWARE,HYUNDAI,IONIQ SEL,Electric and Gas Hybrid ,1
DUBOIS,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,2
ELKHART,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,5
ELKHART,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,2
ELKHART,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,3
FRANKLIN,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,1
GRANT,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,1
GREENE,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,1
HAMILTON,HYUNDAI,IONIQ BLUE,Electric and Gas Hybrid ,3
HAMILTON,HYUNDAI,IONIQ LIMITED,Electric and Gas Hybrid ,5
HAMILTON,HYUNDAI,IONIQ SE,Electric and Gas Hybrid ,3
